clip_id	sec	frames	sample_tokens	text
LJ001-0001	9.655	121	1009	Printing, in the only sense with which we are at present concerned, differs from most if not from all the arts and crafts represented in the Exhibition
LJ001-0003	9.667	121	1007	For although the Chinese took impressions from wood blocks engraved in relief for centuries before the woodcutters of the Netherlands, by a similar process
LJ001-0005	8.111	102	856	the invention of movable metal letters in the middle of the fifteenth century may justly be considered as the invention of the art of printing.
LJ001-0007	8.390	105	877	the earliest book printed with movable types, the Gutenberg, or "forty-two line Bible" of about fourteen fifty-five,
LJ001-0009	7.554	95	795	Printing, then, for our purpose, may be considered as the art of making books by means of movable types.
LJ001-0011	4.512	57	484	it is of the first importance that the letter used should be fine in form;
LJ001-0013	2.585	33	285	than in the same operations with ugly ones.
LJ001-0015	9.237	116	972	the forms of printed letters should be beautiful, and that their arrangement on the page should be reasonable and a help to the shapeliness of the letters themselves.
LJ001-0017	7.020	88	741	that the forms of printed letters should follow more or less closely those of the written character, and they followed them very closely.
LJ001-0019	6.416	81	683	and which developed more completely and satisfactorily on the side of the "lower-case" than the capital letters;
LJ001-0021	8.610	108	901	The earliest book printed with movable type, the aforesaid Gutenberg Bible, is printed in letters which are an exact imitation
LJ001-0023	8.448	106	891	and was in fact the kind of letter used in the many splendid missals, psalters, etc., produced by printing in the fifteenth century.
LJ001-0025	8.866	111	930	imitates a much freer hand, simpler, rounder, and less spiky, and therefore far pleasanter and easier to read.
LJ001-0027	9.643	121	1008	especially as regards the lower-case letters; and type very similar was used during the next fifteen or twenty years not only by Schoeffer,
LJ001-0029	5.324	67	564	But though on the whole, except in Italy, Gothic letter was most often used
LJ001-0031	7.855	99	827	In fourteen sixty-five Sweynheim and Pannartz began printing in the monastery of Subiaco near Rome,
LJ001-0033	6.880	87	729	but which must certainly have come from the study of the twelfth or even the eleventh century MSS.
LJ001-0035	5.057	64	538	they discarded this for a more completely Roman and far less beautiful letter.
LJ001-0037	4.256	54	458	and the next year Gunther Zeiner at Augsburg followed suit;
LJ001-0039	3.757	47	400	The Roman type of all these printers is similar in character,
LJ001-0041	4.953	62	527	It must be said that it is in no way like the transition type of Subiaco,
LJ001-0043	3.896	49	416	A further development of the Roman letter took place at Venice.
LJ001-0045	3.026	38	324	fourteen sixty-nine, fourteen seventy;
LJ001-0047	5.928	75	634	Of Jenson it must be said that he carried the development of Roman type as far as it can go:
LJ001-0049	7.716	97	814	After his death in the "fourteen eighties," or at least by fourteen ninety, printing in Venice had declined very much;
LJ001-0051	4.860	61	516	and paying great attention to the "press work" or actual process of printing,
LJ001-0053	4.581	58	491	they must be considered to have ended the age of fine printing in Italy.
LJ001-0055	8.610	108	904	some of which -- as, e.g., that of Jacobus Rubeus or Jacques le Rouge -- is scarcely distinguishable from his.
LJ001-0057	8.482	107	901	Parma, and one or two other cities, who produced the splendid editions of the Classics, which are one of the great glories of the printer's art,
LJ001-0059	9.063	114	953	the greater part of these Italian printers, it should be mentioned, were Germans or Frenchmen, working under the influence of Italian opinion and aims.
LJ001-0061	3.502	44	376	the Roman letter was used side by side with the Gothic.
LJ001-0063	4.570	58	491	which was generally more formally Gothic than the printing of the German workmen,
LJ001-0065	7.078	89	748	This was notably the case with the early works printed at Ulm, and in a somewhat lesser degree at Augsburg.
LJ001-0067	6.973	88	736	In the Low Countries and Cologne, which were very fertile of printed books, Gothic was the favorite.
LJ001-0069	5.568	70	592	This type was introduced into England by Wynkyn de Worde, Caxton's successor,
LJ001-0071	7.368	93	781	Most of Caxton's own types are of an earlier character, though they also much resemble Flemish or Cologne letter.
LJ001-0073	7.089	89	746	went on apace; and by the end of the sixteenth century there was no really beautiful printing done:
LJ001-0075	6.811	86	722	the worst, which perhaps was the English, was a terrible falling-off from the work of the earlier presses;
LJ001-0077	9.365	118	986	In England about this time, an attempt was made (notably by Caslon, who started business in London as a type-founder in seventeen twenty)
LJ001-0079	4.419	56	474	Caslon's type is clear and neat, and fairly well designed;
LJ001-0081	4.547	57	479	type cast from his matrices is still in everyday use.
LJ001-0083	4.999	63	530	The seventeenth century founts were bad rather negatively than positively.
LJ001-0085	8.320	104	872	It was reserved for the founders of the later eighteenth century to produce letters which are positively ugly, and which, it may be added,
LJ001-0087	8.250	104	873	for the seventeenth-century letters are at least pure and simple in line. The Italian, Bodoni, and the Frenchman, Didot,
LJ001-0089	8.668	109	912	but his letters, though uninteresting and poor, are not nearly so gross and vulgar as those of either the Italian or the Frenchman.
LJ001-0091	6.660	84	705	so far as fine printing is concerned, though paper did not get to its worst till about eighteen forty.
LJ001-0093	7.124	90	750	This experiment was so far successful that about eighteen fifty Messrs. Miller and Richard of Edinburgh
LJ001-0095	4.198	53	451	These and similar founts, cast by the above firm and others,
LJ001-0097	8.239	103	863	a little reduced in ugliness. The design of the letters of this modern "old style" leaves a good deal to be desired,
LJ001-0099	8.030	101	846	It must be remembered, however, that most modern printing is done by machinery on soft paper, and not by the hand press,
LJ001-0101	7.426	93	778	It is discouraging to note that the improvement of the last fifty years is almost wholly confined to Great Britain.
LJ001-0103	5.371	68	572	but the general revival of the old forms has made no way in those countries.
LJ001-0105	8.540	107	894	America has produced a good many showy books, the typography, paper, and illustrations of which are, however, all wrong,
LJ001-0107	3.676	46	393	To say a few words on the principles of design in typography:
LJ001-0109	9.098	114	952	this is best furthered by the avoidance of irrational swellings and spiky projections, and by the using of careful purity of line.
LJ001-0111	6.950	87	731	the ends of many of the letters such as the t and e are hooked up in a vulgar and meaningless way,
LJ001-0113	5.429	68	579	there is a grossness in the upper finishings of letters like the c, the a, and so on,
LJ001-0115	8.308	104	871	in short, it happens to this craft, as to others, that the utilitarian practice, though it professes to avoid ornament,
LJ001-0117	6.648	84	704	which title can only be claimed by artistic practice, whether the art in it be conscious or unconscious.
LJ001-0119	5.847	74	622	and the elegance and legibility of the ancient more striking than in the Arabic numerals.
LJ001-0121	6.381	80	670	in reading the modern figures the eyes must be strained before the reader can have any reasonable assurance
LJ001-0123	3.687	47	404	this is awkward if you have to read Bradshaw's Guide in a hurry.
LJ001-0125	2.677	34	293	this is the narrowing of the modern letters.
LJ001-0129	3.873	49	413	the lateral compression of his letters renders necessary.
LJ001-0131	6.497	82	691	the size known as "Long primer" ought to be the smallest size used in a book meant to be read.
LJ001-0133	8.784	110	921	One very important matter in "setting up" for fine printing is the "spacing," that is, the lateral distance of words from one another.
LJ001-0135	4.303	54	458	it is impossible that they should be quite equal except in lines of poetry
