# clip	transcript-of-token-reconstruction	verdict
eight_alloy	8.	OK
eight_echo	8.	OK
eight_shimmer	8.	OK
five_alloy	Five.	OK
five_echo	Five.	OK
five_shimmer	Five.	OK
four_alloy	4	OK
four_echo	4.	OK
four_shimmer	for	OK
nine_alloy	9	OK
nine_echo	nine.	OK
nine_shimmer	9.	OK
one_alloy	one.	OK
one_echo	one.	OK
one_shimmer	one.	OK
seven_alloy	seven	OK
seven_echo	7.	OK
seven_shimmer	7.	OK
six_alloy	6.	OK
six_echo	Six	OK
six_shimmer	6.	OK
three_alloy	3.	OK
three_echo	3	OK
three_shimmer	three	OK
two_alloy	two.	OK
two_echo	to.	OK
two_shimmer	too.	OK
zero_alloy	zero.	OK
zero_echo	zero.	OK
zero_shimmer	Zero	OK
